RIC;ISIN;Company Common Name;TRBC Economic Sector Name;Country of Issuer
DAIGn.DE;DE0007100000;Daimler AG;Consumer Cyclicals;Germany
SAPG.DE;DE0007164600;SAP SE;Technology;Germany
DTEGn.DE;DE0005557508;Deutsche Telekom AG;Technology;Germany
BASFn.DE;DE000BASF111;BASF SE;Basic Materials;Germany
ALVG.DE;DE0008404005;Allianz SE;Financials;Germany
SIEGn.DE;DE0007236101;Siemens AG;Consumer Non-Cyclicals;Germany
DPWGn.DE;DE0005552004;Deutsche Post AG;Industrials;Germany
IFXGn.DE;DE0006231004;Infineon Technologies AG;Technology;Germany
BAYGn.DE;DE000BAY0017;Bayer AG;Healthcare;Germany
ADSGn.DE;DE000A1EWWW0;Adidas AG;Consumer Cyclicals;Germany
BMWG.DE;DE0005190003;Bayerische Motoren Werke AG;Consumer Cyclicals;Germany
DWNG.DE;DE000A0HN5C6;Deutsche Wohnen SE;Real Estate;Germany
DBKGn.DE;DE0005140008;Deutsche Bank AG;Financials;Germany
TMV.DE;DE000A2YN900;TeamViewer AG;Technology;Germany
EONGn.DE;DE000ENAG999;E.ON SE;Utilities;Germany
LHAG.DE;DE0008232125;Deutsche Lufthansa AG;Industrials;Germany
RWEG.DE;DE0007037129;RWE AG;Utilities;Germany
VNAn.DE;DE000A1ML7J1;Vonovia SE;Real Estate;Germany
DHER.DE;DE000A2E4K43;Delivery Hero SE;Technology;Germany
MRCG.DE;DE0006599905;Merck KGaA;Healthcare;Germany
ENR1n.DE;DE000ENER6Y0;Siemens Energy AG;Energy;Germany
ZALG.DE;DE000ZAL1111;Zalando SE;Consumer Cyclicals;Germany
HFGG.DE;DE000A161408;Hellofresh SE;Consumer Non-Cyclicals;Germany
MUVGn.DE;DE0008430026;Muenchener Rueckversicherungs Gesellschaft in Muenchen AG;Financials;Germany
CBKG.DE;DE000CBK1001;Commerzbank AG;Financials;Germany
DB1Gn.DE;DE0005810055;Deutsche Boerse AG;Financials;Germany
HEIG.DE;DE0006047004;HeidelbergCement AG;Basic Materials;Germany
CONG.DE;DE0005439004;Continental AG;Consumer Cyclicals;Germany
FREG.DE;DE0005785604;Fresenius SE & Co KGaA;Healthcare;Germany
1COV.DE;DE0006062144;Covestro AG;Basic Materials;Germany
TUIGn.DE;DE000TUAG000;Tui AG;Consumer Cyclicals;Germany
