Date,WML
200001    ,6.16
200002    ,8.55
200003  ,-11.29
200004   ,-9.15
200005   ,-6.83
200006   ,-0.52
200007   ,-1.03
200008    ,3.29
200009   ,-4.09
200010   ,-4.79
200011   ,-4.99
200012    ,0.87
200101   ,-6.64
200102    ,7.67
200103    ,4.01
200104   ,-4.07
200105    ,6.66
200106    ,9.45
200107    ,1.52
200108    ,8.23
200109    ,9.81
200110   ,-6.66
200111   ,-9.67
200112    ,2.73
200201    ,5.97
200202    ,5.94
200203   ,-2.54
200204    ,6.00
200205    ,4.84
200206    ,8.09
200207    ,4.71
200208    ,2.17
200209   ,13.65
200210   ,-6.13
200211   ,-8.86
200212   ,10.97
200301    ,2.04
200302    ,6.20
200303    ,2.23
200304  ,-14.47
200305   ,-2.39
200306   ,-4.68
200307   ,-4.59
200308   ,-2.35
200309    ,0.94
200310    ,5.59
200311   ,-0.09
200312   ,-0.69
200401    ,3.69
200402    ,0.43
200403   ,-2.39
200404   ,-1.77
200405   ,-0.19
200406    ,2.08
200407    ,0.36
200408    ,1.26
200409    ,2.39
200410    ,0.00
200411    ,0.89
200412    ,0.87
200501    ,0.87
200502    ,1.58
200503    ,0.31
200504    ,0.87
200505    ,1.62
200506    ,3.27
200507    ,1.14
200508    ,2.68
200509    ,2.93
200510   ,-1.75
200511    ,1.36
200512    ,1.49
200601    ,4.23
200602    ,0.75
200603    ,2.28
200604    ,2.95
200605   ,-2.86
200606   ,-1.22
200607    ,0.11
200608   ,-0.16
200609    ,1.21
200610    ,0.61
200611    ,1.71
200612    ,2.82
200701    ,0.93
200702    ,1.24
200703    ,1.98
200704    ,0.54
200705    ,1.21
200706   ,-0.56
200707    ,1.67
200708   ,-0.14
200709    ,3.44
200710    ,3.93
200711    ,1.88
200712    ,2.11
200801    ,0.44
200802    ,1.76
200803    ,0.23
200804    ,0.15
200805    ,4.40
200806    ,9.49
200807   ,-2.23
200808   ,-4.99
200809    ,3.77
200810   ,10.14
200811    ,2.39
200812   ,-0.72
200901    ,3.32
200902    ,4.50
200903  ,-10.31
200904  ,-26.09
200905   ,-7.71
200906    ,2.46
200907   ,-1.56
200908   ,-9.28
200909   ,-2.80
200910    ,3.70
200911    ,1.91
200912    ,0.21
201001    ,0.54
201002    ,0.24
201003    ,5.15
201004    ,2.20
201005    ,0.96
201006    ,1.65
201007   ,-1.86
201008    ,3.80
201009    ,4.35
201010    ,0.19
201011    ,7.91
201012    ,1.88
201101   ,-5.51
201102   ,-0.17
201103    ,2.18
201104    ,2.49
201105    ,0.60
201106    ,2.34
201107    ,1.62
201108   ,-0.42
201109   ,-1.19
201110    ,0.10
201111    ,6.22
201112    ,2.86
201201   ,-8.99
201202   ,-1.86
201203    ,3.83
201204    ,8.94
201205    ,7.43
201206   ,-3.77
201207    ,4.66
201208   ,-2.93
201209   ,-0.91
201210    ,0.58
201211    ,2.37
201212   ,-0.97
201301   ,-0.40
201302    ,4.54
201303    ,2.65
201304    ,0.98
201305    ,0.54
201306    ,1.20
201307    ,3.60
201308   ,-2.35
201309    ,2.42
201310    ,1.98
201311    ,2.55
201312    ,1.50
201401    ,2.32
201402    ,2.20
201403   ,-0.99
201404   ,-3.54
201405   ,-0.23
201406    ,0.33
201407   ,-0.58
201408    ,0.33
201409    ,2.49
201410    ,1.08
201411   ,-0.62
201412    ,1.98
201501    ,3.51
201502   ,-3.97
201503    ,1.57
201504   ,-2.14
201505    ,3.56
201506    ,0.91
201507    ,3.53
201508    ,2.12
201509    ,4.28
201510   ,-1.56
201511    ,2.61
201512    ,4.01
201601    ,1.15
201602   ,-0.70
201603   ,-1.49
201604   ,-3.91
201605    ,3.81
201606    ,7.10
201607   ,-0.10
201608   ,-1.76
201609    ,3.14
201610   ,-0.83
201611   ,-2.05
201612   ,-1.96
201701    ,2.83
201702   ,-1.60
201703    ,0.02
201704    ,0.23
201705   ,-0.43
201706    ,1.59
201707    ,1.96
201708    ,1.33
201709    ,0.63
201710    ,1.22
201711    ,0.30
201712   ,-1.42
201801    ,2.96
201802    ,0.62
201803   ,-0.43
201804    ,0.70
201805    ,2.00
201806   ,-0.66
201807   ,-0.56
201808    ,2.42
201809    ,1.59
201810   ,-1.47
201811   ,-2.09
201812    ,3.24
201901   ,-2.23
201902   ,-1.15
201903    ,4.52
201904   ,-4.39
201905    ,8.50
201906   ,-0.45
201907    ,1.39
201908    ,3.28
201909   ,-2.28
201910   ,-1.19
201911    ,0.70
201912    ,1.66
202001    ,3.55
202002    ,0.77
202003    ,7.55
202004    ,1.02
202005    ,2.90
202006    ,0.75
202007    ,6.71
202008    ,0.04
202009    ,4.86
202010    ,0.67
202011  ,-18.39
202012    ,2.13
202101    ,2.39
202102   ,-4.52
202103   ,-1.66
202104    ,1.66
202105    ,0.78
202106   ,-0.91
202107    ,2.57
202108    ,0.06
202109   ,-0.60
