Date,WML
200001,   1.92
200002,  18.20
200003,  -6.83
200004,  -8.39
200005,  -8.98
200006,  16.61
200007,  -0.10
200008,   5.73
200009,   1.97
200010,  -4.48
200011,  -2.32
200012,   6.74
200101, -25.30
200102,  12.57
200103,   8.55
200104,  -7.90
200105,   2.21
200106,   0.38
200107,   5.58
200108,   5.53
200109,  11.48
200110,  -8.47
200111,  -8.69
200112,   0.07
200201,   3.75
200202,   6.82
200203,  -1.64
200204,   7.63
200205,   3.16
200206,   6.03
200207,   3.74
200208,   1.90
200209,   9.13
200210,  -5.58
200211, -16.33
200212,   9.64
200301,   1.55
200302,   1.17
200303,   1.48
200304,  -9.33
200305, -10.70
200306,  -1.00
200307,  -0.32
200308,  -0.62
200309,  -0.19
200310,   3.99
200311,   1.46
200312,  -5.57
200401,   2.58
200402,  -1.14
200403,   0.17
200404,  -5.38
200405,   1.50
200406,   2.05
200407,  -2.28
200408,  -1.59
200409,   5.49
200410,  -1.38
200411,   3.16
200412,  -2.87
200501,   3.05
200502,   3.37
200503,   0.41
200504,  -0.69
200505,   0.45
200506,   2.05
200507,   0.06
200508,   2.08
200509,   3.43
200510,  -1.39
200511,   0.35
200512,   0.77
200601,   2.53
200602,  -1.84
200603,   1.26
200604,   0.61
200605,  -3.70
200606,   1.54
200607,  -2.13
200608,  -3.38
200609,  -0.96
200610,  -0.20
200611,  -1.03
200612,   0.79
200701,   0.24
200702,  -1.35
200703,   2.56
200704,  -0.24
200705,  -0.34
200706,   0.51
200707,   2.94
200708,   0.10
200709,   4.63
200710,   5.02
200711,   0.99
200712,   6.63
200801,  -7.75
200802,   6.10
200803,   4.27
200804,  -0.31
200805,   3.31
200806,  12.75
200807,  -5.07
200808,  -4.03
200809,   0.28
200810,   7.85
200811,   7.17
200812,  -5.09
200901,  -2.18
200902,   4.41
200903, -11.87
200904, -34.30
200905, -12.49
200906,   5.48
200907,  -5.58
200908,  -9.07
200909,  -4.79
200910,   2.61
200911,   0.30
200912,   3.02
201001,  -5.40
201002,   3.74
201003,   3.76
201004,   3.16
201005,  -0.25
201006,  -2.76
201007,   1.83
201008,  -0.06
201009,   1.41
201010,   1.58
201011,   2.66
201012,  -3.03
201101,  -0.29
201102,   1.99
201103,   3.40
201104,   0.04
201105,  -0.62
201106,   1.78
201107,   0.16
201108,  -0.28
201109,  -2.42
201110,  -1.43
201111,   3.85
201112,   1.81
201201,  -7.93
201202,  -0.29
201203,   1.30
201204,   3.75
201205,   6.49
201206,  -1.06
201207,   3.02
201208,  -2.37
201209,  -1.14
201210,   0.14
201211,   0.49
201212,  -2.86
201301,  -1.79
201302,   1.29
201303,   1.92
201304,   0.22
201305,  -2.02
201306,   0.52
201307,   1.75
201308,   0.02
201309,   3.07
201310,   0.08
201311,   0.44
201312,   0.02
201401,   1.71
201402,   2.07
201403,  -3.29
201404,  -3.89
201405,   0.88
201406,   0.69
201407,  -0.14
201408,   0.82
201409,   0.50
201410,  -0.06
201411,   0.68
201412,   1.12
201501,   3.85
201502,  -2.79
201503,   2.74
201504,  -7.27
201505,   5.83
201506,   3.02
201507,  10.06
201508,  -2.09
201509,   5.24
201510,  -3.27
201511,   2.28
201512,   3.36
201601,   1.39
201602,  -4.27
201603,  -5.04
201604,  -6.08
201605,   1.37
201606,   4.14
201607,  -3.32
201608,  -3.49
201609,   0.15
201610,   0.60
201611,  -4.63
201612,  -0.25
201701,  -0.94
201702,  -1.60
201703,  -1.03
201704,   0.48
201705,   1.50
201706,  -0.09
201707,   1.62
201708,   3.29
201709,  -1.32
201710,   4.28
201711,  -0.87
201712,  -1.55
201801,   4.05
201802,   3.56
201803,  -1.13
201804,   0.36
201805,   3.87
201806,  -2.33
201807,  -1.43
201808,   5.28
201809,   0.03
201810,  -2.06
201811,  -1.41
201812,   2.12
201901,  -8.65
201902,   0.85
201903,   2.16
201904,  -2.96
201905,   7.56
201906,  -2.23
201907,   2.90
201908,   7.47
201909,  -6.81
201910,   0.19
201911,  -2.63
201912,  -1.88
202001,   6.03
202002,  -0.36
202003,   8.16
202004,  -5.39
202005,   0.35
202006,  -0.78
202007,   7.63
202008,   0.41
202009,   3.18
202010,  -3.10
202011, -12.45
202012,  -2.26
202101,   4.52
202102,  -7.93
202103,  -6.11
202104,   1.14
202105,   0.88
202106,   2.24
202107,  -2.29
202108,   2.52
202109,   1.57
