Date,Mkt-RF,SMB,HML,RF
200001,   -4.74,    5.79,   -1.89,    0.41
200002,    2.45,   21.48,   -9.81,    0.43
200003,    5.20,  -17.29,    8.23,    0.47
200004,   -6.40,   -6.63,    7.25,    0.46
200005,   -4.42,   -6.11,    4.83,    0.50
200006,    4.64,   12.80,   -8.41,    0.40
200007,   -2.51,   -3.08,    8.33,    0.48
200008,    7.03,   -0.63,   -1.37,    0.50
200009,   -5.45,   -1.73,    7.17,    0.51
200010,   -2.76,   -3.93,    5.64,    0.56
200011,  -10.72,   -3.39,   12.34,    0.51
200012,    1.19,    0.73,    7.60,    0.50
200101,    3.13,    6.68,   -5.11,    0.54
200102,  -10.05,   -0.74,   12.48,    0.38
200103,   -7.26,    0.27,    6.43,    0.42
200104,    7.94,    0.56,   -4.69,    0.39
200105,    0.72,    2.50,    3.36,    0.32
200106,   -1.94,    6.27,   -1.13,    0.28
200107,   -2.13,   -4.19,    5.21,    0.30
200108,   -6.46,    2.48,    2.30,    0.31
200109,   -9.25,   -6.25,    1.46,    0.28
200110,    2.46,    7.49,   -7.66,    0.22
200111,    7.54,   -0.47,    2.22,    0.17
200112,    1.60,    4.73,    0.85,    0.15
200201,   -1.44,    1.19,    3.44,    0.14
200202,   -2.29,   -1.00,    2.16,    0.13
200203,    4.24,    4.21,    1.06,    0.13
200204,   -5.20,    5.96,    3.88,    0.15
200205,   -1.38,   -3.21,    1.53,    0.14
200206,   -7.21,    4.28,   -0.03,    0.13
200207,   -8.18,   -5.26,   -3.87,    0.15
200208,    0.50,   -2.87,    3.31,    0.14
200209,  -10.35,    2.43,    1.44,    0.14
200210,    7.84,   -3.41,   -3.95,    0.14
200211,    5.96,    3.23,   -1.27,    0.12
200212,   -5.76,    0.11,    2.13,    0.11
200301,   -2.57,    1.30,   -0.73,    0.10
200302,   -1.88,   -0.46,   -1.38,    0.09
200303,    1.09,    1.04,   -1.93,    0.10
200304,    8.22,    0.67,    1.17,    0.10
200305,    6.05,    4.71,    0.53,    0.09
200306,    1.42,    1.74,    0.19,    0.10
200307,    2.35,    5.11,   -1.19,    0.07
200308,    2.34,    2.62,    1.54,    0.07
200309,   -1.24,    0.80,    0.10,    0.08
200310,    6.08,    2.63,    1.92,    0.07
200311,    1.35,    2.00,    1.81,    0.07
200312,    4.29,   -2.71,    1.60,    0.08
200401,    2.15,    2.54,    2.46,    0.07
200402,    1.40,   -1.52,    0.87,    0.06
200403,   -1.32,    1.75,    0.23,    0.09
200404,   -1.83,   -1.74,   -3.02,    0.08
200405,    1.17,   -0.25,   -0.23,    0.06
200406,    1.86,    2.28,    1.23,    0.08
200407,   -4.06,   -3.80,    3.22,    0.10
200408,    0.08,   -1.49,    1.00,    0.11
200409,    1.60,    3.02,   -0.02,    0.11
200410,    1.43,    0.15,   -0.25,    0.11
200411,    4.54,    3.73,    1.45,    0.15
200412,    3.43,   -0.03,   -0.21,    0.16
200501,   -2.76,   -1.72,    2.07,    0.16
200502,    1.89,   -0.57,    1.54,    0.16
200503,   -1.97,   -1.40,    2.05,    0.21
200504,   -2.61,   -3.93,    0.05,    0.21
200505,    3.65,    2.88,   -0.59,    0.24
200506,    0.57,    2.59,    2.81,    0.23
200507,    3.92,    2.90,   -0.78,    0.24
200508,   -1.22,   -0.98,    1.34,    0.30
