RIC;ISIN;Company Common Name;TRBC Economic Sector Name;Country of Issuer
TSLA.O;US88160R1014;Tesla Inc;Consumer Cyclicals;USA
AAPL.O;US0378331005;Apple Inc;Technology;USA
AMZN.O;US0231351067;Amazon.com Inc;Consumer Cyclicals;USA
FB.O;US30303M1027;Facebook Inc;Technology;USA
MSFT.O;US5949181045;Microsoft Corp;Technology;USA
NVDA.O;US67066G1040;NVIDIA Corp;Technology;USA
MRNA.O;US60770K1079;Moderna Inc;Healthcare;USA
AMD.O;US0079031078;Advanced Micro Devices Inc;Technology;USA
GOOGL.O;US02079K3059;Alphabet Inc;Technology;USA
ADBE.O;US00724F1012;Adobe Inc;Technology;USA
AFRM.O;US00827B1061;Affirm Holdings Inc;Technology;USA
UPST.O;US91680M1071;Upstart Holdings Inc;Financials;USA
LCID.O;US5494981039;Lucid Group Inc;Financials;USA
NFLX.O;US64110L1061;Netflix Inc;Technology;USA
PYPL.O;US70450Y1038;PayPal Holdings Inc;Technology;USA
MU.O;US5951121038;Micron Technology Inc;Technology;USA
ROKU.O;US77543R1023;Roku Inc;Consumer Cyclicals;USA
DKNG.O;US26142R1041;DraftKings Inc;Consumer Cyclicals;USA
COST.O;US22160K1051;Costco Wholesale Corp;Consumer Cyclicals;USA
ZM.O;US98980L1017;Zoom Video Communications Inc;Technology;USA
NVAX.O;US6700024010;Novavax Inc;Healthcare;USA
ABNB.O;US0090661010;Airbnb Inc;Technology;USA
CSCO.O;US17275R1023;Cisco Systems Inc;Technology;USA
INTC.O;US4581401001;Intel Corp;Technology;USA
AAL.O;US02376R1023;American Airlines Group Inc;Industrials;USA
BKNG.O;US09857L1089;Booking Holdings Inc;Consumer Cyclicals;USA
AVGO.O;US11135F1012;Broadcom Inc;Technology;USA
CMCSA.O;US20030N1019;Comcast Corp;Consumer Cyclicals;USA
AMAT.O;US0382221051;Applied Materials Inc;Technology;USA
PTON.O;US70614W1009;Peloton Interactive Inc;Consumer Cyclicals;USA
TMUS.O;US8725901040;T-Mobile US Inc;Technology;USA
CRWD.O;US22788C1053;CrowdStrike Holdings Inc;Technology;USA
ATVI.O;US00507V1098;Activision Blizzard Inc;Technology;USA
QCOM.O;US7475251036;Qualcomm Inc;Technology;USA
LRCX.O;US5128071082;Lam Research Corp;Technology;USA
UAL.O;US9100471096;United Airlines Holdings Inc;Industrials;USA
COIN.O;US19260Q1076;Coinbase Global Inc;Technology;USA
WYNN.O;US9831341071;Wynn Resorts Ltd;Consumer Cyclicals;USA
ADI.O;US0326541051;Analog Devices Inc;Technology;USA
CHTR.O;US16119P1084;Charter Communications Inc;Technology;USA
TXN.O;US8825081040;Texas Instruments Inc;Technology;USA
CEI;US13200M5085;Camber Energy Inc;Energy;USA
INTU.O;US4612021034;Intuit Inc;Technology;USA
MRIN.O;US56804T2050;Marin Software Inc;Technology;USA
ISRG.O;US46120E6023;Intuitive Surgical Inc;Healthcare;USA
SOFI.O;US83406F1021;SoFi Technologies Inc;Financials;USA
MTCH.O;US57667L1070;Match Group Inc;Technology;USA
