RIC;ISIN;Company Common Name;TRBC Economic Sector Name;Country of Issuer
CYBL.PK;US23247M2052;Cyberlux Corp;Industrials;USA
TGGI.PK;US89324A1097;Trans Global Group Inc;Industrials;USA
FERN.PK;US3152191058;Fernhill Corp;Technology;USA
MGMB.PK;US55303C1018;MGM Holdings II Inc;Industrials;USA
HTZZ.PK;US42806J7000;Hertz Global Holdings Inc;Industrials;USA
CNGO.PK;US15136X1028;Cengage Learning Holdings II Inc;Industrials;USA
NLST.PK;US64118P1093;Netlist Inc;Technology;USA
HMBL.PK;US44501Q1040;Humbl Inc;Industrials;USA
DPLS.PK;US2372451052;Darkpulse Inc;Technology;USA
GTOR.PK;US37442G1022;Ggtoor Inc;Technology;USA
ICOA.PK;US4492923093;ICOA Inc;Technology;USA
IFAN.PK;US45173B1017;IFAN Financial Inc;Technology;USA
SFOR.PK;US86332V6048;StrikeForce Technologies Inc;Technology;USA
GBXI.PK;US3615181035;GBX International Group Inc;Energy;USA
AXTG.PK;US0546171051;Axis Technologies Group Inc;Industrials;USA
WNDW.PK;US83417L1061;SolarWindow Technologies Inc;Energy;USA
SIRC.PK;US83417R1032;Solar Integrated Roofing Corp;Energy;USA
IPO-CHECI.PK;NULL;Carriage House Event Center Inc;Industrials;USA
IPO-FTRTI.PK;NULL;Father Time Inc;Technology;USA
IPO-LIMT.PK;NULL;Limitless Projects Inc;Technology;USA
IPO-MEDA.PK;NULL;Media Marketing 365 Inc;Technology;USA
IPO-ANKM.PK;NULL;Ankam;Technology;USA
IPO-GOO.PK;NULL;Go Go Buyers Inc;Technology;USA
PJET.PK;US74273F1012;Priority Aviation Inc;Industrials;USA
PHIL.PK;US69338D2080;PHI Group Inc;Industrials;USA
AITX.PK;US04316D2018;Artificial Intelligence Technology Solutions Inc;Industrials;USA
VPER.PK;US92762R1059;Viper Networks Inc;Industrials;USA
PUGE.PK;US74535X1063;Puget Technologies Inc;Technology;USA
INTV.PK;US45826P2002;Integrated Ventures Inc;Technology;USA
OZSC.PK;US6927322098;Ozop Energy Solutions Inc;Industrials;USA
AFIPA.PK;US0016831010;Amfi Corp;Industrials;USA
VBHI.PK;US92338J1088;Verde Bio Holdings Inc;Energy;USA
TLSS.PK;US89388L1089;Transportation and Logistics Systems Inc;Industrials;USA
JPEX.PK;US46639B1070;JPX Global Inc;Industrials;USA
MJWL.PK;US5607691012;Majic Wheels Corp;Technology;USA
GWSO.PK;US3794371068;Global Warming Solutions Inc;Industrials;USA
HYSR.PK;US86738R1086;Sunhydrogen Inc;Energy;USA
ALPP.PK;US02083E1055;Alpine 4 Holdings Inc;Technology;USA
NUKK.PK;US67053Q1076;Nukkleus Inc;Industrials;USA
PBYA.PK;US74274K1097;Probility Media Corp;Industrials;USA
ALYI.PK;US02146M2017;Alternet Systems Inc;Technology;USA
MRMD.PK;US56782V1070;Marimed Inc;Industrials;USA
APTY.PK;US03834Y1010;APT Systems Inc;Technology;USA
CCAJ.PK;US1904261062;Coastal Capital Acquisition Corp;Technology;USA
TGHI.PK;US89157E1038;Touchpoint Group Holdings Inc;Technology;USA
WDLF.PK;US83362T1043;Social Life Network Inc;Technology;USA
VMNT.PK;US92259A1025;Vemanti Group Inc;Technology;USA
IBGR.PK;US65341F1075;Nexus Energy Services Inc;Technology;USA
ZNOG.PK;US9896961094;Zion Oil and Gas Inc;Energy;USA
PRMO.PK;US7434232044;Prom Resources Inc;Industrials;USA
ASTI.PK;US0436355079;Ascent Solar Technologies Inc;Energy;USA
GDET.PK;US36830V2007;GD Entertainment & Technology Inc;Technology;USA
TPCS.PK;US8787391015;TechPrecision Corp;Industrials;USA
FDBL.PK;US3584522094;Friendable Inc;Technology;USA
VISM.PK;US92836G1013;Visium Technologies Inc;Technology;USA
SWRM.PK;US03834T1025;Appswarm Inc;Technology;USA
LICT.PK;US50187G1040;LICT Corp;Technology;USA
HPNN.PK;US4393382035;Hop On Inc;Technology;USA
UATG.PK;US90419P1003;Umbra Applied Technologies Group Inc;Industrials;USA
LGIQ.PK;US5414401035;Logiq Inc;Technology;USA
UBQU.PK;US9034701022;Ubiquitech Software Corp;Technology;USA
HLYK.PK;US42228P1021;Healthlynked Corp;Technology;USA
BANT.PK;US06684B2043;Bantec Inc;Industrials;USA
IQST.PK;US46265G1076;Iqstel Inc;Technology;USA
CPSL.PK;US14903C1027;Ambient Water Corp;Industrials;USA
COWI.PK;US2198584045;CoroWare Inc;Industrials;USA
MMMM.PK;US74738Q2057;Quad M Solutions Inc;Industrials;USA
LGBS.PK;US52467N1063;Legends Business Group Inc;Industrials;USA
GTII.PK;US37955R1077;Global Tech Industries Group Inc;Energy;USA
GMER.PK;US3820902076;Good Gaming Inc;Technology;USA
GMGI.PK;US3810983003;Golden Matrix Group Inc;Technology;USA
VKIN.PK;US9267952045;Viking Energy Group Inc;Energy;USA
SGSI.PK;US84764H3003;Spectrum Global Solutions Inc;Technology;USA
GXXM.PK;US3743973055;GEX Consulting Inc;Industrials;USA
BYOC.PK;US08861P1057;Beyond Commerce Inc;Technology;USA
TPTW.PK;US87265T1034;TPT Global Tech Inc;Technology;USA
BZWR.PK;US12330E1055;Business Warrior Corp;Technology;USA
GAXY.PK;US36320A1043;Galaxy Next Generation Inc;Technology;USA
EVIO.PK;US30051V1061;EVIO Inc;Industrials;USA
CSVI.PK;US20539A1051;Computer Services Inc;Technology;USA
SCPJ.PK;US8091631080;Scope Industries;Industrials;USA
VIZC.PK;US92856B2060;Vizconnect Inc;Technology;USA
VTXB.PK;US92904T1007;Vortex Brands Co;Technology;USA
GOFF.PK;US36190U2069;Goff Corp;Industrials;USA
MCDIF.PK;BMG5924V1063;McDermott International Ltd;Industrials;USA
IFXY.PK;US45685T2024;Infrax Systems Inc;Technology;USA
USEI.PK;US90342S1069;US Energy Initiatives Corporation Inc;Energy;USA
BBLR.PK;US1177681012;Bubblr Inc;Technology;USA
LTNC.PK;US50541A1088;Labor Smart Inc;Industrials;USA
APYP.PK;US03834R1068;AppYea Inc;Technology;USA
CBYI.PK;US12802P3073;Cal Bay International Inc;Industrials;USA
XERI.PK;US98422N1037;Xeriant Inc;Industrials;USA
ASTA.PK;US0463421018;WorldFlix Inc;Technology;USA
BFCH.PK;US09174L1044;BitFrontier Capital Holdings Inc;Technology;USA
SYSX.PK;US87185L2060;Sysorex Inc;Technology;USA
IJJP.PK;US44963Q2049;IJJ Corp;Technology;USA
FTRK.PK;US31188W1080;Sauer Energy Inc;Energy;USA
FOMC.PK;US3444291054;Fomo Corp;Industrials;USA
FNGR.PK;US31788K1088;FingerMotion Inc;Technology;USA
PPJE.PK;US69353D5059;PPJ Healthcare Enterprises Inc;Technology;USA
FTXP.PK;US34512J1088;Foothills Exploration Inc;Energy;USA
SEEK.PK;US88337U1025;TheDirectory.com Inc;Technology;USA
RIII.PK;US7599581011;Renavotio Inc;Industrials;USA
BOPO.PK;US09072L2060;Biopower Operations Corp;Energy;USA
DGTW.PK;US25400E1029;DigitalTown Inc;Technology;USA
RDAR.PK;US74979T2078;RAADR Inc;Technology;USA
ATGN.PK;US0214891097;Altigen Communications Inc;Technology;USA
YAYO.PK;US9852941072;EVMO Inc;Technology;USA
